ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price	Pins	JLCPCB Part Class	Contributor	Package Display	link	sourceId	timeStamp
"1"	"MOMENTARY-SWITCH-SPST-PTH-6.0MM"	"BTN"	"TACTILE_SWITCH_PTH_6.0MM"	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""
"2"	"0.33uF"	"C1"	"CAP-SMD_BD4.0-L4.3-W4.3-LS5.3-FD"	"1"	"CK1HR33MCRC54"	"ST(先科)"	"LCSC"	"C264238"	"0.005"	"2"	"Extended Part"	"LCSC"	""	""	""	""
"3"	"100nF"	"C2,C5,C6"	"C0805"	"3"	"0805B104K500NT"	"FH(风华)"	"LCSC"	"C38141"	"0.001"	"2"	"Extended Part"	""	""	""	""	""
"4"	"100uF"	"C3,C4"	"EIA7343"	"2"	"TPSD107K020R0100"	"Kyocera AVX"	"LCSC"	"C444810"	"0.224"	"2"	""	""	""	""	""	""
"5"	"DC Jack 2.1x5.5mm"	"DC1"	"DC-IN-TH_DC-005-5A-2.0"	"1"	"DC-005-5A-2.0"	"XKB Enterprise"	"LCSC"	"C381116"	"0.037"	"3"	""	"Janosch_89"	""	""	""	""
"6"	"ROTORY ENCODER"	"ENC"	"SW-TH_PEC11R-4XXXF-SXXXX"	"1"	"PEC11R-4015F-S0024"	"BOURNS"	"LCSC"	"C143789"	"0.383"	"7"	"Extended Part"	"LCSC"	""	""	""	""
"7"	"CONN_191X19_NO_SILK"	"J1,J2"	"1X19_NO_SILK"	"2"	""	""	""	""	""	"19"	""	""	""	""	""	""
"8"	"SSD1306-128X64-OLED-0.96"	"PCB1"	"SSD1306_VCC_GND_SCL_SDA SSD1306 KFLMIAMI420 SSD1306 128X64"	"1"	""	""	""	""	""	"4"	""	""	"No"	""	"wICUcuL3l"	"1456014235"
"9"	"10k"	"R1"	"1210"	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""
"10"	"SMA-KWE903"	"RF1"	"SMA-TH_SMA-KWE903"	"1"	"SMA-KWE903"	"DreamLNK(骏晔科技)"	"LCSC"	"C914555"	"0.132"	"5"	"Extended Part"	"LCSC"	""	""	""	""
"11"	"CJ7805 3%"	"U1"	"TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW"	"1"	"CJ7805 3%"	"Jiangsu Changjing Electronics Technology Co., Ltd."	"LCSC"	"C21706"	"0.028"	"3"	"Extended Part"	""	""	""	""	""
"12"	"E22-900M30S"	"U2"	"WIRELM-SMD_E22-900M30S"	"1"	"E22-900M30S"	"Chengdu Ebyte Elec Tech"	"LCSC"	"C411294"	"1.391"	"22"	"Extended Part"	"LCSC"	""	"https://www.aliexpress.us/item/3256801621928909.html"	""	""
"13"	"BME280"	"U3"	"BME280"	"1"	""	""	""	""	""	"4"	""	"ammonite"	""	""	""	""
"14"	"ESP32-WROOM-32U/D"	"U4"	"ESP32-WROOM-32-D-U-DEVKIT"	"1"	""	""	""	""	""	"38"	""	"Zambiorix"	""	""	""	""
"15"	"ATGM336H GPS"	"U5"	"ATGM336H BREAKOUT"	"1"	""	""	""	""	""	"5"	""	"jeremysampson"	""	""	""	""
"16"	"CYT1036 Buzzer"	"U6"	"CYLEWET 5V BUZZER CYT1036"	"1"	"CYT1036"	"Cylewet"	""	""	""	"2"	""	"Frank Cappelle"	""	"https://www.amazon.com/gp/product/B01N7NHSY6/ref=ppx_yo_dt_b_asin_title_o06_s00?ie=UTF8&psc=1"	""	""
